taxa_name	pectoral_fin
Leiocassis_doriae	1
Gastromyzon_borneensis	1
Chrysichthys_mabusi	1
Aphanius_apodus	1
Cetopsis_motatanensis	1
Austroglanis_sclateri	1
Papyrocranus_afer	1
Nototheniidae	1
Tautoga	1
Triacanthodidae	1
Hemibagrus_baramensis	1
Centromochlus_perugiae	1
Bagrichthys_micranodus	1
Chrysichthys_johnelsi	1
Oncorhynchus_mykiss	1
Auchenipterus_dentatus	1
Cyprinella_formosa	1
Corydoras_ephippifer	1
Astyanax	1
Paraliparis	1
Notropis_blennius	1
Ophisternon_infernale	0
Doradidae	1
Rhabdolichops_electrogrammus	1
Alabes_parvula	0
Apteronotus_cuchillo	1
Pteronotropis_hypselopterus	1
Acestrorhynchus_isalineae	1
Careproctus_rastrinus	1
Liparidae	1
Pseudobagrus_taphraphilus	1
Pseudobagrus_medianalis	1
Odacidae	1
Heterobranchus_longifilis	1
Ctenolucius_hujeta	1
Molidae	1
Heterenchelyidae	0
Ctenolucius_sp._Fink_and_Fink_1981	1
Erimystax	1
Saurida_undosquamis	1
Gagata_itchkeea	1
Cyprinella_venusta	1
Scobinancistrus_pariolispos	1
Rhinodoras_sp._Vigliotta_2008	1
Oryzias_nebulosus	1
Alepisauridae	1
Corydoras_aeneus	1
Notoglanidium_thomasi	1
Orinocodoras_sp._Royero_1999	1
Monacanthidae	1
Siluriformes	1
Dissostichus_mawsoni	1
Liobagrus_formosanus	1
Nocomis_micropogon	1
Gymnotus_cylindricus	1
Pagetopsis_macropterus	1
Muraenichthys	0
Phoxinus_oreas	1
Chaca_chaca	1
Hypostomus_sp._round_snout_2_Armbruster_2004	1
Oreosoma_atlanticum	1
Macrurocyttus	1
Pseudancistrus_sp._gold_spot_Armbruster_2004	1
Pterygoplichthys_sp._Schaefer_1987	1
Hemiarius_dioctes	1
Astroblepus_sp._Britto_2003	1
Ailia_coila	1
Parotocinclus_jimi	1
Hassar_affinis	1
Schistura_fasciolata	1
Glyptothorax_laosensis	1
Imparfinis_pristos	1
Synodontis_ornatipinnis	1
Paracheilinus	1
Lindbergichthys_nudifrons	1
Baryancistrus_niveatus	1
Phractocephalus_hemioliopterus	1
Asterophysus_batrachus	1
Achiropsettidae	?
Chiloglanis_neumanni	1
Hypancistrus_zebra	1
Malapterurus_monsembeensis	1
Linophrynidae	1
Saccodon_wagneri	1
Cryodraco_antarcticus	1
Anchoa_compressa	1
Odontognathus_compressus	1
Trichomycterus_reinhardti	1
Notropis_amoenus	1
Plotosus_canius	1
Eigenmannia_humboldtii	1
Hoplias_microlepis	1
Rita_sp._Kailola_2004	1
Capromimus_abbreviatus	1
Boraras_merah	1
Sturisoma_festivum	1
Cynopotamus_argenteus	1
Triglidae	1
Acrocheilus_alutaceus	1
Rivulus_nudiventris	1
Pseudancistrus_brevispinis	1
Cheirodon_interruptus	1
Ameiurus_nebulosus	1
Grasseichthys_gabonensis	1
Ancistrus_sp._Armbruster_2004	1
Notropis_jemezanus	1
Coregonus_sp._Fink_and_Fink_1981	1
Panaque_nigrolineatus	1
Pillaia_indica	1
Malapteruridae	1
Cyprinella_lutrensis	1
Pachythrissops_laevis	1
Boraras_urophthalmoides	1
Brycinus_intermedius	1
Hemiancistrus_holostictus	1
Laides_hexanema	1
Nipponocypris_temminckii	1
Atopochilus_savorgnani	1
Aspidoras_belenos	1
Xyliphius_cf._lepturus_Friel_1994	1
Liparis_inquilinus	1
Peckoltia_ucayalensis	1
Centromochlus_existimatus	1
Microrasbora_rubescens	1
Rhamdiopsis_microcephala	1
Ammodytidae	1
Salminus_hilarii	1
Chrysichthys_brevibarbis	1
Desmodema_polystictum	1
Chionobathyscus_dewitti	1
Pterygoplichthys_multiradiatus	1
Bunocephalus_amaurus	1
Phreatobius_cisternarum	1
Semotilus_corporalis	1
Zoarcidae	1
Sturisoma_lyra	1
Nessorhamphus_danae	1
Silurus_asotus	1
Vitiaziella_cubiceps	1
