taxa_name	pectoral fin	
Loricariichthys sp. (Schaefer 1987)	1	
Liparidae	1	
Opsariichthys bidens	1	
Hisonotus candombe	1	
Silurichthys phaiosoma	1	
Histiodraco velifer	1	
Pseudobagrus taeniatus	1	
Naso unicornis	1	
Silurus meridionalis	1	
Notropis baileyi	1	
Aptocyclus ventricosus	1	
Entomocorus gameroi	1	
Iotichthys phlegethontis	1	
Ammodytidae	1	
Pterobunocephalus dolichurus	1	
Parotocinclus polyochrus	1	
Phenacobius uranops	1	
Eremophilus	1	
Pataecus	1	
Chanos chanos	1	
Silurus glanis	1	
Phenacobius teretulus	1	
Notropis longirostris	1	
Pterobunocephalus sp. (Friel 1994)	1	
Eremophilus mutisii	1	
Pseudopimelodus mangurus	1	
Astyanax parahybae	1	
Bathysauroides gigas	1	
Pristigasteridae	1	
Opsariichthys uncirostris	1	
Crenuchus spilurus	1	
Orthodon microlepidotus	1	
Notropis altipinnis	1	
Symphurus williamsi	0 and 1	
Notropis potteri	1	
Proeutropiichthys taakree	1	
Gymnotus cylindricus	1	
Neopataecus	1	
Phenacogrammus major	1	
Chrysichthys johnelsi	1	
Bunocephalus sp. 3 (Chen 1994)	1	
Akysis sp. 3 (de Pinna 1996)	1	
Phenacogrammus ansorgii	1	
Megupsilon aporus	1	
Omosudis lowii	1	
Bunocephalus sp. 1 (Chen 1994)	1	
Galaxias platei	1	
Chrysichthys delhezi	1	
Barbus versluysii	1	
Hemiarius stormii	1	
Otocinclus sp. (Schaefer 1987)	1	
Gonorynchiformes	1	
Parotocinclus spilosoma	1	
Pimephales tenellus	1	
Crossoloricaria venezuelae	1	
Iksookimia koreensis	1	
Luxilus albeolus	1	
Aracanidae	1	
Hemiarius dioctes	1	
Sebastes vulpes	1	
Phenacogrammus urotaenia	1	
Heterobranchus longifilis	1	
Batrochoglanis villosus	1	
Luxilus coccogenis	1	
Olyra kempi	1	
Andersonia leptura	1	
Chrysichthys ornatus	1	
Siluridae	1	
Astyanax mexicanus	1	
Luxilus cerasinus	1	
Hypostomus cochliodon	1	
Chrysichthys sianenna	1	
Luxilus pilsbryi	1	
Batasio batasio	1	
Achiropsettidae	0 and 1	
Aphanius apodus	1	
Pholidophorus bechei	1	
Mesoborus sp. (Fink and Fink 1981)	1	
Pimephales promelas	1	
Parotocinclus collinsae	1	
Heterobranchus bidorsalis	1	
Synodontis sp. (Mo 1991)	1	
Tetraodontidae	1	
Bryconaethiops macrops	1	
Chlidichthys	1	
Diodontidae	1	
Imparfinis guttatus	1	
Pterygoplichthys sp. (Schaefer 1987)	1	
Lindbergichthys nudifrons	1	
Glanidium albescens	1	
Notropis stilbius	1	
Bagarius bagarius	1	
Phyllonemus typus	1	
Saurorhamphus freyeri	1	
Alabes dorsalis	0	
Chiloglanis sp. D (Vigliotta (2008)	1	
Acanthuridae	1	
Ancistrus cirrhosus	1	
Scopelarchidae	1	
Richardsonius egregius	1	
Pseudotatia parva	1	
Opisthopterus valenciennesi	1	
Protoclupea chilensis	1	
Otothyris sp. (Schaefer 1991)	1	
Astroblepus chotae	1	
Ichthyborus sp. (Fink and Fink 1981)	1	
Imparfinis microps	1	
Pseudopimelodidae	1	
Chiloglanis disneyi	1	
Benthalbella macropinna	1	
Parotocinclus britskii	1	
