taxa_name	pectoral_fin	pectoral_fin_inferred	pectoral_fin_propagated
Pterodoras_rivasi	1	2	0
Synodontis_longirostris	1	2	0
Myoglanis_potaroensis	1	2	0
Acestridium_discus	1	2	0
Adontosternarchus_sachsi	1	2	0
Dekeyseria_pulchra	1	2	0
Rhodichthys_regina	1	1	0
Notropis_simus	1	2	0
Silurus_soldatovi	1	2	0
Champsocephalus_gunnari	1	2	0
Planiloricaria_sp._Britto_2003	1	2	0
Acanthocharax_microlepis	1	2	0
Apodocreedia_vanderhorsti	1	1	0
Platydoras_sp._Royero_1999	1	2	0
Liobagrus_reinii	1	2	0
Notropis_semperasper	1	2	0
Chiloglanis_sp._A_Vigliotta_2008	1	2	0
Lithoxus_lithoides	1	2	0
Pseudobunocephalus_iheringii	1	2	0
Pseudobagarius_macronemus	1	2	0
Anaethalion_cf._A._subovatus_Arratia_1999	1	2	0
Bagrus_docmak	1	2	0
Neblinichthys_pilosus	1	2	0
Eremophilus_mutisii	1	1	0
Centromochlus_n._sp._Royero_1999	1	2	0
Hemipsilichthys_gobio	1	2	0
Lestidium_atlanticum	1	2	0
Alosa_pseudoharengus	1	2	0
Hime_japonica	1	2	0
Leiocassis_doriae	1	2	0
Gastromyzon_borneensis	1	2	0
Chrysichthys_mabusi	1	2	0
Aphanius_apodus	1	1	0
Cetopsis_motatanensis	1	2	0
Austroglanis_sclateri	1	2	0
Papyrocranus_afer	1	1	0
Hemibagrus_baramensis	1	2	0
Centromochlus_perugiae	1	2	0
Bagrichthys_micranodus	1	2	0
Chrysichthys_johnelsi	1	2	0
Oncorhynchus_mykiss	1	2	0
Auchenipterus_dentatus	1	2	0
Cyprinella_formosa	1	2	0
Corydoras_ephippifer	1	2	0
Notropis_blennius	1	2	0
Ophisternon_infernale	0	0	0
Rhabdolichops_electrogrammus	1	2	0
Alabes_parvula	0	0	0
Apteronotus_cuchillo	1	2	0
Pteronotropis_hypselopterus	1	2	0
Acestrorhynchus_isalineae	1	2	0
Careproctus_rastrinus	1	2	0
Pseudobagrus_taphraphilus	1	2	0
Pseudobagrus_medianalis	1	2	0
Heterobranchus_longifilis	1	2	0
Ctenolucius_hujeta	1	2	0
Ctenolucius_sp._Fink_and_Fink_1981	1	2	0
Saurida_undosquamis	1	2	0
Gagata_itchkeea	1	2	0
Cyprinella_venusta	1	2	0
Scobinancistrus_pariolispos	1	2	0
Rhinodoras_sp._Vigliotta_2008	1	2	0
Oryzias_nebulosus	1	2	0
Corydoras_aeneus	1	2	0
Notoglanidium_thomasi	1	2	0
Orinocodoras_sp._Royero_1999	1	2	0
Dissostichus_mawsoni	1	2	0
Liobagrus_formosanus	1	2	0
Nocomis_micropogon	1	2	0
Gymnotus_cylindricus	1	2	0
Pagetopsis_macropterus	1	2	0
Phoxinus_oreas	1	2	0
Chaca_chaca	1	2	0
Hypostomus_sp._round_snout_2_Armbruster_2004	1	2	0
Oreosoma_atlanticum	1	2	0
Pseudancistrus_sp._gold_spot_Armbruster_2004	1	2	0
Pterygoplichthys_sp._Schaefer_1987	1	2	0
Hemiarius_dioctes	1	2	0
Astroblepus_sp._Britto_2003	1	2	0
Ailia_coila	1	2	0
Parotocinclus_jimi	1	2	0
Hassar_affinis	1	2	0
Schistura_fasciolata	1	2	0
Glyptothorax_laosensis	1	2	0
Imparfinis_pristos	1	2	0
Synodontis_ornatipinnis	1	2	0
Lindbergichthys_nudifrons	1	2	0
Baryancistrus_niveatus	1	2	0
Phractocephalus_hemioliopterus	1	2	0
Asterophysus_batrachus	1	2	0
Chiloglanis_neumanni	1	2	0
Hypancistrus_zebra	1	2	0
Malapterurus_monsembeensis	1	2	0
Saccodon_wagneri	1	2	0
Cryodraco_antarcticus	1	2	0
Anchoa_compressa	1	2	0
Odontognathus_compressus	1	1	0
Trichomycterus_reinhardti	1	2	0
Notropis_amoenus	1	2	0
Plotosus_canius	1	2	0
Eigenmannia_humboldtii	1	2	0
Hoplias_microlepis	1	2	0
Rita_sp._Kailola_2004	1	2	0
Capromimus_abbreviatus	1	2	0
Boraras_merah	1	2	0
Sturisoma_festivum	1	2	0
Cynopotamus_argenteus	1	2	0
Acrocheilus_alutaceus	1	2	0
Rivulus_nudiventris	1	1	0
Pseudancistrus_brevispinis	1	2	0
Cheirodon_interruptus	1	2	0
Ameiurus_nebulosus	1	2	0
Grasseichthys_gabonensis	1	2	0
Ancistrus_sp._Armbruster_2004	1	2	0
Notropis_jemezanus	1	2	0
Coregonus_sp._Fink_and_Fink_1981	1	2	0
Panaque_nigrolineatus	1	2	0
Pillaia_indica	1	1	0
Cyprinella_lutrensis	1	2	0
Pachythrissops_laevis	1	2	0
Boraras_urophthalmoides	1	2	0
Brycinus_intermedius	1	2	0
Hemiancistrus_holostictus	1	2	0
Laides_hexanema	1	2	0
Nipponocypris_temminckii	1	2	0
Atopochilus_savorgnani	1	2	0
Aspidoras_belenos	1	2	0
Xyliphius_cf._lepturus_Friel_1994	1	2	0
Liparis_inquilinus	1	2	0
Peckoltia_ucayalensis	1	2	0
Centromochlus_existimatus	1	2	0
Microrasbora_rubescens	1	2	0
Rhamdiopsis_microcephala	1	2	0
Salminus_hilarii	1	2	0
Chrysichthys_brevibarbis	1	2	0
Desmodema_polystictum	1	1	0
Chionobathyscus_dewitti	1	2	0
Pterygoplichthys_multiradiatus	1	2	0
Bunocephalus_amaurus	1	2	0
Phreatobius_cisternarum	1	2	0
Semotilus_corporalis	1	2	0
Sturisoma_lyra	1	2	0
Nessorhamphus_danae	1	1	0
Silurus_asotus	1	2	0
Vitiaziella_cubiceps	1	1	0
Bryconamericus_iheringii	1	2	0
Corydoras_ellisae	1	2	0
Neblinichthys_roraima	1	2	0
Otothyris_lophophanes	1	2	0
Hyalobagrus_ornatus	1	2	0
Melamphaes_suborbitalis	1	2	0
Conta_conta	1	2	0
Mystus_armatus	1	2	0
Chlorophthalmus_agassizi	1	2	0
Parahollardia_lineata	1	2	0
Ancistrus_cirrhosus	1	2	0
Plagopterus_argentissimus	1	2	0
Nemacheilus_masyai	1	2	0
Ichthyborus_ornatus	1	2	0
Dolichancistrus_cobrensis	1	2	0
Sciades_dowii	1	2	0
Heteropneustes_fossilis	1	2	0
Zenopsis_conchifer	1	2	0
Sturisoma_sp._Schaefer_1987	1	2	0
Sebastes_vulpes	1	2	0
Panaqolus_albomaculatus	1	2	0
Notropis_girardi	1	2	0
Pimelodus_maculatus	1	2	0
Cygnodraco_mawsoni	1	2	0
Oryzias_javanicus	1	2	0
Adrianichthys_kruyti	1	2	0
Luxilus_cerasinus	1	2	0
Aspidoras_albater	1	2	0
Pterygoplichthys_punctatus	1	2	0
Cyprinella_nivea	1	2	0
Cheilinus_trilobatus	1	2	0
Cheilinus_chlorourus	1	2	0
Catostomus_sp._Fink_and_Fink_1981	1	2	0
Malapterurus_microstoma	1	2	0
Oryzias_orthognathus	1	2	0
Cyprinella_zanema	1	2	0
Ictalurus_dugesii	1	2	0
Chrysichthys_habereri	1	2	0
Pseudobagrus_brevianalis	1	2	0
Aptocyclus_ventricosus	1	2	0
Farlowella_sp._Britto_2003	1	2	0
Loricaria_sp._Friel_1994	1	2	0
Neoarius_pectoralis	1	2	0
Acestrorhynchus_microlepis	1	2	0
Scorpiodoras_heckelii	1	2	0
Cyprinella_labrosa	1	2	0
Oreoglanis_siamensis	1	2	0
Cyprinus_carpio	1	2	0
Loricariinae_sp._Friel_1994	1	2	0
Microsternarchus_bilineatus	1	2	0
Typhlichthys_subterraneus	1	1	0
Corydoras_septentrionalis	1	2	0
Liposarcus_sp._Friel_1994	1	2	0
Sebastiscus_marmoratus	1	2	0
